time_min,episode,macro_updates,micro_updates,best_macro_fitness,best_micro_fitness,avg_reward,macro_width,macro_depth,micro_width,micro_depth,phase,phase_generation
80.87334065039953,69,7,69,24718.055588366908,30033.580898614066,30033.580898614066,51,3,85,5,Expert,24
81.72833627859751,70,7,70,24718.055588366908,32856.301751588246,32856.301751588246,51,3,85,5,Expert,25
82.72911759614945,71,8,71,24718.055588366908,30842.401394488843,30842.401394488843,51,3,85,5,Expert,26
83.77803508043289,72,8,72,20317.712705946225,23482.50840511175,23482.50840511175,51,3,85,5,Expert,27
84.74426622788111,73,8,73,20317.712705946225,25901.382479958036,25901.382479958036,51,3,85,5,Expert,28
85.76840408245722,74,8,74,20317.712705946225,25330.19392432357,25330.19392432357,51,3,85,5,Expert,29
86.73197891314824,75,8,75,19980.649111676932,26318.472488515436,26318.472488515436,51,4,85,5,Master,0
87.70069569349289,76,8,76,20317.712705946225,28495.83401173439,28495.83401173439,51,3,85,5,Master,1
88.62454223235449,77,8,77,20317.712705946225,25075.228072678416,25075.228072678416,51,3,85,5,Master,2
89.5704843958219,78,8,78,20317.712705946225,22146.416373076707,22146.416373076707,51,3,85,5,Master,3
90.5534880956014,79,8,79,20317.712705946225,24544.702783997524,24544.702783997524,51,3,85,5,Master,4
91.48087354898453,80,8,80,20317.712705946225,29084.989376072088,29084.989376072088,51,3,85,5,Master,5
92.3339724500974,81,9,81,20317.712705946225,26007.664439911125,26007.664439911125,51,3,85,5,Master,6
93.23048499822616,82,9,82,22369.649171952045,25431.491982051335,25431.491982051335,51,3,85,4,Master,7
94.03461631536484,83,9,83,22369.649171952045,24171.869238374635,24171.869238374635,51,3,85,4,Master,8
94.81529708305995,84,9,84,22369.649171952045,24934.571340145485,24934.571340145485,51,3,85,4,Master,9
95.560005346934,85,9,85,22369.649171952045,25459.67091649324,25459.67091649324,51,3,85,4,Master,10
96.34506744543711,86,9,86,22369.649171952045,26895.79417121713,26895.79417121713,51,3,85,4,Master,11
97.12130371332168,87,9,87,22369.649171952045,26057.227916381296,26057.227916381296,51,3,85,4,Master,12
97.86054626305898,88,9,88,22369.649171952045,26561.660777348126,26561.660777348126,51,3,85,4,Master,13
98.6941092967987,89,9,89,22369.649171952045,26407.290600534147,26407.290600534147,51,3,85,4,Master,14
